año,pib,tipointeres,tipocambio,precios,inflacion,difinflacion,tasadepreciacion,PeurPus,tcesperado,pibee,tipointeresee,preciosee,inflacionee
2000,213606.5,5.55666666666667,0.9236,75.02,,,,,,1036400.7,,:,
2001,220525.1,5.07916666666667,0.8956,76.74,,,,,,1052600.5,,:,
2002,226735.2,4.96416666666667,0.9456,78.04,,,,,,1083300.65,,75.32,
2003,231862.5,4.14083333333333,1.1312,79.05,,,,,,1128300.8,,77.04,
2004,242348.3,4.13083333333333,1.2439,80.6,,,,,,1202500.45,,79.19,
2005,254075,3.39416666666667,1.2441,82.3,,,,,,1283400.15,,82.25,
2006,267824.5,3.8,1.2556,83.69,,,,,,1363800.375,,84.88,
2007,283978,4.2975,1.3705,85.53,,,,,,1429000.8,,87.11,
2008,293761.9,4.35833333333333,1.4708,88.29,,,,,,1474300.325,,90.97,
2009,288044,3.93666666666667,1.3948,88.64,0.4,,,,,1443100.8,,90.25,-0.8
2010,295896.6,3.22583333333333,1.3257,90.14,0,,,,,1483800.85,,92.56,2.6
2011,310128.7,3.31916666666667,1.392,93.35,1.7,-0.3,-0.077,0.971,2.43895,1540300.675,0.71666667,96.16,3.9
2012,318653,2.3725,1.2848,95.75,0,0.4,0.0337,0.975,2.02333,1605600.45,0.3425,98.23,2.2
2013,323910.2,2.01,1.3281,97.77,3.6,0.8,0.0003,0.983,1.59403,1660300.775,0.27975,99.48,1.3
2014,333146.1,1.4875,1.3285,99.2,0,0.2,-0.1648,0.984,1.60739,1733500.575,0.21916667,100.81,1.3
2015,344269.2,0.746351666666666,1.1095,100,2.6,1.6,-0.0023,1,0.91938,1810600.075,0.40916667,100,-0.8
2016,357608,0.3753925,1.1069,100.97,0,0.5,0.0206,1.004,0.59458,1858100.65,0.79666667,100.55,0.5
2017,369361.9,0.583265,1.1297,103.22,2.1,0.5,0.04541,1.009,0.43778,1931600.625,1.20581667,102.29,1.7
2018,385424,0.686151666666667,1.181,105.41,0,-0.1,-0.0521,1.008,0.29915,2036800.9,2.2649175,104.52,2.2
2019,397518.5,0.0629325,1.1195,106.98,1.5,0.2,0.0202,1.01,0.27038,2122300.85,2.24075,105.92,1.3
2020,379320.6,-0.2248375,1.1422,108.47,0,0.6,-1,1.1016,0.53349,2247600.91,0.4865,106.72,0.8
