"TIME","GEO","CURRENCY","BOP_ITEM","SECTOR10","SECTPART","STK_FLOW","PARTNER","Value","Flag and Footnotes"
"2000","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,508.0",""
"2001","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,756.0",""
"2002","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","4,767.0",""
"2003","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,590.0",""
"2004","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,031.0",""
"2005","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,738.0",""
"2006","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,824.0",""
"2007","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","10,798.0",""
"2008","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","13,190.0",""
"2009","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,479.0",""
"2010","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,447.0",""
"2011","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,057.0",""
"2012","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","4,725.0",""
"2013","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,294.0",""
"2014","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,242.0",""
"2015","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,940.0",""
"2016","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9,742.0",""
"2017","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,076.0",""
"2018","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,485.0",""
"2019","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,316.0",""
"2020","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,203.0",""
